architecture,W,p,median_aug_minus_real
BayesianLSTM,0.000,0.0625,0.1273
LSTM,3.000,0.3125,0.1028
GRU,5.000,0.6250,0.0925
BiLSTM,5.000,0.6250,0.0867
Mamba,1.000,0.1250,0.2195
Ridge,0.000,0.0625,0.2269
MLP,0.000,0.0625,-2.6668
